ID,Title,Location,Summary
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=41895007,Python 백엔드 개발자,서울전체,"Python, AWS, 웹개발, 백엔드/서버개발, 프론트엔드 외 수정일 21/12/20"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44810067,임베디드 SW 개발자 채용 [C++/python],광주북구,"Python, C++, Linux, 임베디드, H/W 외 등록일 23/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44865437,[ 개발자 에듀테크 기업 ] 백엔드 (Python) [정규직],서울서초구,"Python, 백엔드/서버개발, API, SQL, WebRTC 외 등록일 23/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44549878,Python 백엔드 개발자(경력),서울전체,"Python, Java, AWS, 웹개발, 백엔드/서버개발 외 수정일 23/01/19"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44792191,[제이어스] AI/머신러닝/딥러닝/C/C++/Python 개발자모집(부산),부산사상구,"Python, Java, C++, Linux, 백엔드/서버개발 외 수정일 23/01/09"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43919131,Sr. Back-end Engineer (Python),서울전체,"Python, Java, C++, 웹개발, 백엔드/서버개발 외 수정일 23/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44868364,[경력무관] Python 개발자 정규직 모집,서울서초구,"Python, 알고리즘, 소프트웨어개발 등록일 23/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=40925974,"웹개발 경력자 채용 (Python Django, 연봉 업계 최고)",서울전체,"Python, 웹개발, 백엔드/서버개발, 클라우드, 핀테크 외 수정일 21/08/23"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44768051,[경력] 서버 엔지니어 (Python),서울전체,"Python, AWS, 웹개발, 백엔드/서버개발, 클라우드 외 수정일 23/01/17"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44779668,"응용프로그램개발(Windows, C/C++, C#, Python 外 2개 부문)채용",부산금정구,"Python, C++, 머신러닝, 빅데이터, 앱개발 외 수정일 23/01/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44892589,"[선릉역] 데이터분석(석박사,Matlab,Python)",서울강남구,"Python, 데이터분석가, 데이터분석, Matlab, 전자 외 등록일 23/01/21"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44876790,파이썬 Python / PHP 개발자 정규직 채용 (경력자우대),부산해운대구,"Python, AWS, 백엔드/서버개발, 그누보드, Ajax 외 등록일 23/01/18"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=43750042,"(주)바이오커넥트 - [신입 및 경력] 영상처리 알고리즘 개발(Python,딥러닝)",서울전체,"Python, 머신러닝, 빅데이터, 데이터분석가, 딥러닝 외 수정일 22/12/26"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44778479,데이터엔지니어 & 분석가 신입 및 경력직 채용,서울강남구,"머신러닝, 빅데이터, 클라우드, 데이터분석가, 데이터엔지니어 외 등록일 23/01/04"
https://www.saramin.co.kr/zf_user/jobs/relay/view?isMypage=no&rec_idx=44773559,AI소프트웨어 및 웹 개발 신입 및 경력 채용,경기성남시 분당구,"Python, Java, C++, AWS, 웹개발 외 수정일 23/01/05"
